REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2021-03-31,AMICA MUTUAL INSURANCE CO,7478,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"24,705","17,141","17,141",0,"1,890","4,132","1,542","52,972","28,263","24,844",505,206,299,"1,331",-4,"1,587","14,877","6,648","2,128",828,"2,337","2,936","28,507","13,630","10,383",144,"1,294","3,077","-1,268","24,465","1,448","23,017","-4,750",143,1,0,"27,623","52,972","52,972","1,331","12,511","-4,630",464,"1,641",621,0,614,-46,-12,-24,-106,672,-554,0,"-2,582","-1,360",0,0,0,"-1,222","-1,016","-1,162",0,0,0,-37,-221,"-2,178","19,901","17,723","-1,219","1,641","-2,860","10,389","8,174","2,215","1,621",666,"1,056",-101,594,-89,10,99,28,533,69,26,438,621,"1,215",0.15,0.13,"2,883","3,399"
2021-06-30,AMICA MUTUAL INSURANCE CO,7610,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"24,693","16,229","16,229",0,"2,129","4,733","1,602","55,146","30,450","27,030",486,203,283,"1,311",-3,"1,626","16,371","7,558","1,855",834,"2,505","3,619","28,896","12,525","9,278",63,"1,318","3,173","-1,307","26,250","1,446","24,804","-3,608",206,1,0,"28,205","55,146","55,146","1,311","11,133","-5,096","1,142","2,124",681,0,474,151,-324,-259,-155,345,-255,0,"-1,515","-1,515",0,0,0,0,"-1,549","-1,588",70,0,0,-31,42,-898,"17,723","16,825",609,"2,124","-1,515","11,958","9,074","2,884","1,572",576,973,23,"1,312",-64,11,75,45,"1,293",115,36,"1,142",681,"1,993",0.39,0.34,"2,913","3,357"
2021-09-30,AMICA MUTUAL INSURANCE CO,9828,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"25,002","16,095","16,065",30,"1,962","5,199","1,746","57,834","32,832","29,248",470,201,269,"1,260",0,"1,854","18,051","8,260","2,059","1,084","2,632","4,016","29,340","11,289","8,067",40,"1,365","3,480","-1,663","28,494","1,441","27,053","-1,990",120,1,0,"28,922","57,834","57,834","1,290","10,126","-5,939","1,618","3,147",761,0,475,294,-1,135,-488,"1,172",-820,0,"-1,855","-1,825",0,-30,0,0,"-1,381","-1,526",192,0,0,-47,-42,-131,"16,825","16,694","1,322","3,147","-1,825","13,757","10,097","3,660","1,656",611,994,51,"2,004",-116,10,126,-6,"1,882",223,41,"1,618",761,"2,765",0.54,0.48,"2,994","3,369"
2021-12-31,AMICA MUTUAL INSURANCE CO,13394,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"27,100","17,707","17,576",131,"1,913","5,757","1,723","62,131","35,027","31,172","1,717",200,"1,517",0,0,"2,138","19,705","10,025","1,957","1,122","2,372","4,229","30,548","10,843","6,916",24,"2,052","3,531","-1,680","31,583","1,394","30,189",329,0,1,0,"29,859","62,131","62,131",131,"8,873","-8,703","2,343","4,585",848,0,558,499,337,18,-534,"1,814",-961,0,"-1,916","-1,814",0,-102,0,0,"-1,257","-1,456",262,0,0,199,38,"1,450","16,694","18,144","2,771","4,585","-1,814","17,719","12,872","4,847","2,234",740,"1,494",0,"2,613",-46,25,71,68,"2,635",292,22,"2,321",848,"3,461",0.77,0.54,"3,045","4,305"
2022-03-31,AMICA MUTUAL INSURANCE CO,14648,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"29,050","18,013","17,505",508,"2,311","6,691","2,035","66,038","36,986","32,639","1,715",200,"1,515",0,0,"2,632","21,455","11,171","2,058","1,272","2,719","4,235","30,632","9,177","4,967",24,"2,185","3,604","-1,603","35,406","1,321","34,085","3,649",-50,1,0,"30,485","66,038","66,038",508,"7,025","-10,480","3,280","3,995",880,0,418,19,-602,-409,-633,997,-557,0,"-2,167","-1,772",0,-386,0,-9,"-1,914","-2,068",0,0,0,-48,-18,-104,"18,144","18,040","2,214","3,995","-1,781","18,756","13,296","5,460","1,857",865,992,0,"3,603",-33,28,61,56,"3,626",346,-38,"3,318",880,"4,483",1.07,0.96,"3,103","3,472"
2022-06-30,AMICA MUTUAL INSURANCE CO,10373,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"31,222","18,915","18,324",591,"2,081","8,108","2,118","68,513","37,284","33,684",655,196,459,0,0,"2,945","21,821","11,212","1,945","1,045","3,040","4,579","30,855","9,034","4,720",22,"2,210","3,513","-1,431","37,658","1,282","36,376","5,908",-477,1,0,"30,944","68,513","68,513",591,"6,665","-11,659","2,256","2,351",922,0,361,158,"-1,346",176,"-1,559",409,-372,0,-884,"-1,730",0,-90,0,936,-406,-402,43,0,0,-4,-214,847,"18,040","18,887",621,"2,351","-1,730","16,934","12,700","4,234","1,770",667,961,142,"2,464",-18,26,44,28,"2,474",205,10,"2,259",922,"3,386",0.73,0.65,"3,111","3,464"
2022-09-30,AMICA MUTUAL INSURANCE CO,10075,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"35,990","21,107","19,532","1,575","2,192","10,327","2,364","74,426","38,442","34,569",637,191,446,0,0,"3,236","24,611","13,897","1,883","1,114","3,011","4,706","33,302","8,691","3,991",20,"2,265","3,477","-1,062","41,124","1,273","39,851","9,198",-942,3,0,"31,592","74,426","74,426","1,575","5,874","-13,658","3,292","5,100",956,0,362,259,231,-193,"-2,300","3,253",-529,0,"-2,791","-1,803",0,-991,3,0,-712,-899,229,0,0,187,-335,"1,262","18,887","20,149","3,297","5,100","-1,803","21,454","16,072","5,382","1,694",733,961,0,"3,688",33,86,53,-85,"3,636",305,39,"3,292",956,"4,644",1.05,0.95,"3,146","3,468"
2022-12-31,AMICA MUTUAL INSURANCE CO,5327,2022-12-01,109.0,6.5,3.4,55.723,48.0,3.6,3.8748,2022(Q4),"40,917","22,185","16,253","5,932","2,952","12,839","2,941","82,338","41,421","36,635",593,194,399,0,328,"3,865","26,709","15,255","1,987","1,235","2,810","5,422","36,440","9,731","3,761",82,"2,804","3,703",-619,"45,898","1,194","44,704","12,885",-361,3,0,"32,177","82,338","82,338","5,932","5,748","-10,505","3,687","3,278",989,0,419,374,"-2,191",-698,"-1,973","1,370",-890,0,"-6,131","-1,858",0,"-4,368",19,76,-495,-497,67,0,0,2,123,"-3,225","20,149","16,924","1,420","3,278","-1,858","24,318","18,541","5,777","1,876",810,"1,032",34,"3,901",124,157,33,-42,"3,983",276,-7,"3,714",989,"4,890",1.18,1.07,"3,160","3,475"
2023-03-31,AMICA MUTUAL INSURANCE CO,9432,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"42,997","22,402","16,048","6,354","2,993","14,375","3,227","86,833","43,833","38,669",583,195,388,0,0,"4,581","27,436","15,904","1,913","1,371","2,807","5,441","37,598","10,162","3,661",0,"2,911","3,822",-232,"49,235","1,181","48,054","15,398",-225,3,0,"32,878","86,833","86,833","6,354","5,574","-10,474","2,513","2,513","1,046",-55,418,121,"-1,530",-32,"-1,540",797,-755,0,"-2,484","-2,073",0,"-2,015","1,604",0,-233,-408,0,0,0,-56,50,-154,"16,924","16,770",440,"2,513","-2,073","23,329","18,818","4,511","1,847",771,"1,076",0,"2,664",184,213,29,-48,"2,800",261,26,"2,513","1,046","3,710",0.8,0.73,"3,166","3,468"
2023-06-30,AMICA MUTUAL INSURANCE CO,7995,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"43,875","23,075","15,296","7,779","3,447","14,356","2,997","90,591","46,721","41,046",649,263,386,0,0,"5,026","27,592","15,273","2,008","1,244","3,202","5,865","38,409","10,817","3,803",0,"3,021","4,292",-299,"52,182","1,052","51,130","18,101",-410,3,0,"33,436","90,591","90,591","7,779","5,811","-9,485","2,614","3,065","1,154",-148,445,48,"-1,048",0,0,0,"-1,048",0,"-3,534","-2,060",-79,"-5,075",0,"3,680",-328,-357,0,0,0,29,-94,-891,"16,534","15,879","1,005","3,065","-2,060","24,927","20,394","4,533","2,134",943,"1,191",0,"2,399",210,238,28,328,"2,937",323,-89,"2,703","1,154","3,553",0.85,0.78,"3,171","3,478"
